StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q1,Q58,Q58_4_TEXT,Q1.1,Q57,Q6_1,Q61,Q16,Q17,Q18,Q68,Q69,Q70,Q73,Q74,Q75,Q78,Q79,Q80,Q49_1,Q49_2,Q49_3,Q49_4,Q49_5,Q49_6,Q65,Q64,Q62,condition,link_click_count
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Bitte geben Sie vor dem Fortfahren an, ob Sie der Teilnahme an dieser Studie sowie der Verarbeitung und Nutzung Ihrer Daten zu wissenschaftlichen Zwecken zustimmen.",Wie alt sind Sie,Wie beschreiben Sie sich selbst? - Selected Choice,Wie beschreiben Sie sich selbst? - Selbstbeschreibung bevorzugt – Text,List of Countries,Was ist Ihre höchste abgeschlossene Ausbildung?,"In der Politik spricht man manchmal von ‘links’ und ‘rechts’. Wo würden Sie sich selbst auf dieser Skala einordnen, wobei 0 für links und 10 für rechts steht? - .",Haben Sie einen Migrationshintergrund (d. h. Sie selbst oder mindestens ein Elternteil wurde nicht mit deutscher Staatsangehörigkeit geboren)?,"Wie viele Menschen in Deutschland haben einen Migrationshintergrund?

(Optional)  Hier
 finden Sie offizielle Statistiken um die Antwort zu überprüfen","Aus welchem Land kamen 2022 die meisten Zugewanderten in Deutschland?

(Optional) Hier
 finden Sie offizielle Statistiken um Ihre Antwort zu überprüfen","Wie viele Menschen haben 2022 in Deutschland einen Asylantrag gestellt?

(Optional) Hier
 finden Sie offizielle Statistiken um Ihre Antwort zu überprüfen","Wie viele Menschen in Deutschland haben einen Migrationshintergrund?

(Optional)  Hier
 finden Sie offizielle Statistiken um die Antwort zu überprüfen","Aus welchem Land kamen 2022 die meisten Zugewanderten in Deutschland?

(Optional) Hier
 finden Sie offizielle Statistiken um die Antwort zu überprüfen","Wie viele Menschen haben 2022 in Deutschland einen Asylantrag gestellt?

(Optional) Hier
 finden Sie offizielle Statistiken um die Antwort zu überprüfen","Wie viele Menschen in Deutschland haben einen Migrationshintergrund?

(Optional)  Hier
 finden Sie offizielle Statistiken um die Antwort zu überprüfen","Aus welchem Land kamen 2022 die meisten Zugewanderten in Deutschland?

(Optional) Hier
 finden Sie offizielle Statistiken um die Antwort zu überprüfen","Wie viele Menschen haben 2022 in Deutschland einen Asylantrag gestellt?

(Optional) Hier
 finden Sie offizielle Statistiken um die Antwort zu überprüfen","Wie viele Menschen in Deutschland haben einen Migrationshintergrund?

(Optional)  Hier
 finden Sie offizielle Statistiken um die Antwort zu überprüfen","Aus welchem Land kamen 2022 die meisten Zugewanderten in Deutschland?

(Optional) Hier
 finden Sie offizielle Statistiken um die Antwort zu überprüfen","Wie viele Menschen haben 2022 in Deutschland einen Asylantrag gestellt?

(Optional) Hier
 finden Sie offizielle Statistiken um die Antwort zu überprüfen","Bitte beantworten Sie die folgenden Fragen zu dem Chatbot, den Sie gerade verwendet haben. - Der Chatbot arbeitet zuverlässig","Bitte beantworten Sie die folgenden Fragen zu dem Chatbot, den Sie gerade verwendet haben. - Ich kann mich auf den Chatbot verlassen","Bitte beantworten Sie die folgenden Fragen zu dem Chatbot, den Sie gerade verwendet haben. - Der Chatbot könnte stellenweise einen Fehler machen","Bitte beantworten Sie die folgenden Fragen zu dem Chatbot, den Sie gerade verwendet haben. - Ich vertraue dem Chatbot eher, als dass ich ihm nicht vertraue","Bitte beantworten Sie die folgenden Fragen zu dem Chatbot, den Sie gerade verwendet haben. - Bitte wählen Sie hier 'Stimme voll zu' aus.","Bitte beantworten Sie die folgenden Fragen zu dem Chatbot, den Sie gerade verwendet haben. - Chatbots funktionieren generell gut",Wie häufig verwenden Sie ähnliche KI Chatbots (z.B. ChatGPT oder Claude),Ist Ihnen bei der Nutzung des Chatbots etwas aufgefallen?,Sie können hier gerne weitere Anmerkungen oder Kommentare hinzufügen.,condition,link_click_count
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID1""}","{""ImportId"":""QID58""}","{""ImportId"":""QID58_4_TEXT""}","{""ImportId"":""QID1220013898""}","{""ImportId"":""QID57""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID61""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID73_TEXT""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID78_TEXT""}","{""ImportId"":""QID79_TEXT""}","{""ImportId"":""QID80_TEXT""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID49_5""}","{""ImportId"":""QID49_6""}","{""ImportId"":""QID65""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""condition""}","{""ImportId"":""link_click_count""}"
2026-04-22 14:43:54,2026-04-22 14:46:33,Survey Preview,,100,159,True,2026-04-22 14:46:33,R_2t4oJZUpfy71iZJ,,,,,37.9842,23.7353,preview,EN,Ich stimme zu,18-29,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-22 14:50:21,2026-04-22 14:50:42,Survey Preview,,100,20,True,2026-04-22 14:50:43,R_2OleBPPr5Rmtxuq,,,,,37.9842,23.7353,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-22 14:50:49,2026-04-22 14:51:08,Survey Preview,,100,18,True,2026-04-22 14:51:09,R_2cuNimYIwNRtfw4,,,,,37.9842,23.7353,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-23 12:55:56,2026-04-23 12:56:30,Survey Preview,,100,33,True,2026-04-23 12:56:30,R_2qfL1f9qSuFOLBN,,,,,50.1189,8.6921,preview,EN,Ich stimme nicht zu (Beendet automatisch die Umfrage),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-23 12:56:35,2026-04-23 12:59:08,Survey Preview,,100,153,True,2026-04-23 12:59:08,R_2LopUZJ0uQtI255,,,,,50.1189,8.6921,preview,EN,Ich stimme zu,18-29,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3
2026-04-23 13:03:48,2026-04-23 13:04:47,Survey Preview,,100,58,True,2026-04-23 13:04:47,R_2zlhyMZ3VL3bt5L,,,,,50.1189,8.6921,preview,EN,Ich stimme zu,18-29,,,,,,,,,,,,,,,,,,,Stimme gar nicht zu,Stimme eher zu,Stimme weder zu noch nicht zu,Stimme eher nicht zu,,,,,,,0
2026-04-23 13:30:39,2026-04-23 13:31:13,Survey Preview,,100,33,True,2026-04-23 13:31:13,R_2NE6N4S8F78Fx9D,,,,,50.1189,8.6921,preview,EN,Ich stimme zu,70 oder älter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2026-05-11 16:46:36,2026-05-11 16:51:55,IP Address,80.137.46.230,100,319,True,2026-05-11 16:51:56,R_2JpXro6ciXUQ2fT,,,,,52.5353,13.4245,anonymous,DE,Ich stimme zu,50-59,Weiblich,,Germany,"Teilweise Universität, aber ohne Abschluss",2,Nein,,,,,,,,,,,,,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme voll zu,Stimme eher zu,Selten,Schnell!,,C,0
